rank,name,score,country,year,category,votes,quote,douban_url,enable_urls
67,情书,8.9,日本,1995,剧情;爱情,1087079,暗恋的极致。,https://movie.douban.com/subject/1292220/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D716142566%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=599322bcd1;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNTE5ODM2MDg2NA%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F8r1352nt8g4mgy1.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrho324c.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss39429%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=599322bcd1
68,两杆大烟枪,9.1,英国,1998,剧情;喜剧;犯罪,584768,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrk3zxd4.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video
69,西西里的美丽传说,8.9,意大利 美国,2000,剧情;战争;情色,956029,美丽无罪。,https://movie.douban.com/subject/1292402/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrh1gubo.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video
70,音乐之声,9.1,美国,1965,剧情;传记;爱情;歌舞,589294,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D736016863%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=4d889a8a74;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrjxerwg.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fnlzswcxr4umy1fr.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss28658%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=4d889a8a74;https%3A%2F%2Fw.yangshipin.cn%2Fvideo%3Ftype%3D0%26vid%3Dy0000293k7e%26channel%3Ddouban_laxin%26channel_origin%3Dm_h5&subtype=21&type=online-video&link2key=4d889a8a74
71,看不见的客人,8.8,西班牙,2016,剧情;犯罪;悬疑;惊悚,1230894,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F8lvnb7aiio1crpd.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
72,阿凡达,8.8,美国,2009,动作;科幻;冒险,1394780,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D712481283%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=69a76f0764;http%3A%2F%2Fwww.mgtv.com%2Fb%2F106831%2F1100262.html%3Fcxid%3Dvb4rv4jhk&subtype=7&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fldl1811bamppdrd.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F8iKQBDrvB1A%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=69a76f0764
73,拯救大兵瑞恩,9.1,美国,1998,剧情;战争,634523,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D714218823%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=4b43d0a763;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F8lv03zh9yuhm1a2.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrnpp9co.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMTMzNTQ2Mzc2NA%3D%3D.html%3Fspm%3Da2h0c.8166622.PhoneSokuProgram_1.3%26lang%3D%25E8%258B%25B1%25E8%25AF%25AD%26s%3Dcc016d7a962411de83b1&subtype=3&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss26727%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=4b43d0a763
74,飞越疯人院,9.1,美国,1975,剧情,537200,自由万岁。,https://movie.douban.com/subject/1292224/,
75,小鞋子,9.2,伊朗,1997,剧情;儿童;家庭,402751,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrjraeeo.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fab66o4bl2p67wv7.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss43671%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=a5b0bbd3fb
76,哈利·波特与死亡圣器(下),9.0,美国 英国,2011,奇幻;冒险,811667,10年的完美句点。,https://movie.douban.com/subject/3011235/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rx4rx4r0.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Feshodxofa7omesm.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss28302%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=675cfbdecd
77,沉默的羔羊,8.9,美国,1991,剧情;犯罪;惊悚,869147,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rr4ad9lw.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F81Bp0uVbqjk%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=de949efd68;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss33897%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=de949efd68
78,布达佩斯大饭店,8.9,美国 德国 英国,2014,剧情;喜剧;冒险,907860,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D762625704%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=588e20c6f6;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Ftlvwiitova3d9m1.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrhxz45s.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F87JVIMNur44%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=588e20c6f6
79,禁闭岛,8.9,美国,2010,剧情;悬疑;惊悚,953235,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D714534517%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=8789bc9263;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMTMzODU5MTA4MA%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrk3nll8.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fv6nwjtseqb43ots.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss26728%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=8789bc9263
80,蝴蝶效应,8.9,美国 加拿大,2004,剧情;悬疑;科幻;惊悚,917721,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fporrg8osobrmvs8.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
81,致命魔术,8.9,英国 美国,2006,剧情;悬疑;惊悚,839973,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rra04xok.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fyjko7f1b1muwdhe.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNTE5OTUyNTQ4.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss33130%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=3d3145008b
82,海豚湾,9.3,美国,2009,纪录片,352639,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D624310090%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=9ec2357500;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrk4jq7o.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F1fl91giyegazfl4.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
83,功夫,8.8,中国大陆 中国香港,2004,动作;喜剧;犯罪;奇幻,1095077,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrk40ajc.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fuiq0rxuywu508qr.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss32523%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=fb342a048f;http%3A%2F%2Fvip.1905.com%2Fplay%2F1411307.shtml%3F__hz%3D6e0721b2c6977135%26api_source%3Ddouban_vodadd&subtype=13&type=online-video
84,心灵捕手,8.9,美国,1997,剧情,694256,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmhl665xf8ina3t2.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
85,低俗小说,8.9,美国,1994,剧情;喜剧;犯罪,816696,故事的高级讲法。,https://movie.douban.com/subject/1291832/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrjrbafs.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Feinghaeb1shgwf2.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
86,美国往事,9.2,美国 意大利,1984,犯罪;剧情,403812,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fr3rpkp47bmoo9ch.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
87,春光乍泄,9.0,中国香港 日本 韩国,1997,剧情;爱情;同性,619971,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/,
88,哈利·波特与阿兹卡班的囚徒,8.9,英国 美国,2004,奇幻;冒险,707317,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D651582315%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=046b95edb4;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMjc0Mjg1ODc2.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F3k0pikhlunqinuv.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrjbevto.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss28297%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=046b95edb4
89,摩登时代,9.3,美国,1936,剧情;喜剧;爱情,293905,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D681035911%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=e94c5e89f3;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F9w35g1rr7w3smmr.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrj6sjrw.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNDc5MjUxNjEy.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss26258%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=e94c5e89f3;https%3A%2F%2Fwww.1905.com%2Fvod%2Fplay%2F1391234.shtml%3F__hz%3D6e0721b2c6977135%26api_source%3Ddouban_vodadd&subtype=13&type=online-video&link2key=e94c5e89f3
90,超脱,9.0,美国,2011,剧情,579304,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F70zllnaq7qcxtj0.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrjy9aic.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss12579%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=9af169591e;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F7ZiB5nyW3IA%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=9af169591e
91,喜剧之王,8.8,中国香港,1999,喜剧;剧情;爱情,948950,我是一个演员。,https://movie.douban.com/subject/1302425/,
92,致命ID,8.9,美国,2003,剧情;悬疑;惊悚,804470,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrk30rh0.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video
93,七宗罪,8.8,美国,1995,剧情;犯罪;悬疑;惊悚,926759,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fzg7bhyyc1ffeha0.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
94,杀人回忆,8.9,韩国,2003,剧情;动作;犯罪;悬疑;惊悚,695598,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/,
95,红辣椒,9.1,日本,2006,动画;悬疑;科幻;惊悚,450828,梦的勾结。,https://movie.douban.com/subject/1865703/,
96,加勒比海盗,8.8,美国,2003,动作;冒险;奇幻,840153,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D701144148%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=6ab9b416cf;http%3A%2F%2Fwww.mgtv.com%2Fb%2F109409%2F1129490.html%3Fcxid%3Dvb4rv4jhk&subtype=7&type=online-video;https%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNjI0Nzg1NDg4.html&subtype=3&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F6bxb2yc7mskrdoz.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F84YjJWyhY8c%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=6ab9b416cf
97,哈利·波特与密室,8.8,英国 美国,2002,奇幻;冒险,734602,魔法的密室之门已打开...,https://movie.douban.com/subject/1296996/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D651583956%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=7acfde07e3;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrifgpcx.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fwe0v1e4gwbyz0et.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss28296%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=7acfde07e3
98,狩猎,9.1,丹麦 瑞典,2012,剧情,380661,人言可畏。,https://movie.douban.com/subject/6985810/,https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F8lj8KZE4uia%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=1fd61ccffd
99,一一,9.1,中国台湾 日本,2000,剧情;爱情;家庭,381149,我们都曾经是一一。,https://movie.douban.com/subject/1292434/,
100,被嫌弃的松子的一生,8.9,日本,2006,剧情;歌舞,691874,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F2xxvt9eg1d231wv.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
101,7号房的礼物,8.9,韩国,2013,剧情;喜剧;家庭,546444,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/,
102,唐伯虎点秋香,8.7,中国香港,1993,喜剧;爱情;古装,1055395,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D676777252%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=a7c549558c;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fe3pdjwjjbbcmsow.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrlunup8.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMzQ3OTU4NjA3Ng%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;http%3A%2F%2Fvip.1905.com%2Fplay%2F677810.shtml%3F__hz%3D6e0721b2c6977135%26api_source%3Ddouban_vodadd&subtype=13&type=online-video
103,请以你的名字呼唤我,8.9,意大利 法国 巴西 美国,2017,剧情;爱情;同性,706044,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/,
104,断背山,8.8,美国 加拿大,2005,剧情;爱情;同性;家庭,695928,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/,
105,剪刀手爱德华,8.7,美国,1990,剧情;奇幻;爱情,1019156,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D651825285%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=d79e117dc2;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fstnv37gf9fye063.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrk1k0is.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video
106,勇敢的心,8.9,美国,1995,动作;传记;剧情;历史;战争,551598,史诗大片的典范。,https://movie.douban.com/subject/1294639/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F90hxh48sphptr0j.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrk1ymus.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video
107,入殓师,8.9,日本,2008,剧情,651197,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/,https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss41342%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=fb7fe67fe3
108,爱在黎明破晓前,8.8,美国 奥地利 瑞士,1995,剧情;爱情,664706,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/,http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNTkyNDgzNTM2.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F7ci0ax0zwtztdot.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss32312%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=4d1192eb01
109,第六感,8.9,美国,1999,剧情;悬疑;惊悚,544644,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D720941864%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=32766a0ef3;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fr59i2am7z2pg81w.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
110,重庆森林,8.8,中国香港,1994,剧情;爱情,793140,寂寞没有期限。,https://movie.douban.com/subject/1291999/,
111,蝙蝠侠：黑暗骑士崛起,8.8,美国 英国,2012,剧情;动作;科幻;犯罪;惊悚,704406,诺兰就是保证。,https://movie.douban.com/subject/3395373/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F1b117d3s47s9rwx.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rra0ffm8.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss28318%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=c4dd421358
112,幽灵公主,8.9,日本,1997,动画;奇幻;冒险,512933,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/,
113,超能陆战队,8.7,美国,2014,喜剧;动作;科幻;动画;冒险,990957,Balalala~~~,https://movie.douban.com/subject/11026735/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fhjdb95f8lxcyyew.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.mgtv.com%2Fb%2F331947%2F6456413.html%3Fcxid%3Dvb4rv4jhk&subtype=7&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F84YkSCfyWaq%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=b93efe4d85
114,菊次郎的夏天,8.9,日本,1999,剧情;喜剧,582774,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fbdbcer5v3qcjioz.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrn8d6vc.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F7OK9biV2mOg%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=0bc02acfda;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss11978%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=0bc02acfda
115,爱在日落黄昏时,8.9,美国 法国,2004,剧情;爱情,545698,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrjba7jk.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F9q1fcwkoeem19d5.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video
